Unique Variable,Initial Value,Type,Description
PlayerName,휘바,string,플레이어 이름
YourCatName,휘바밥,string,플레이어의 고양이 이름
ResponsibilityScore,0,int,현재 책임감 지수
MaxResponsibilityScore,5,int,최대 책임감 지수 
CurrentStageNum,0,int,현재 진행 중인 스테이지 번호(이름)
CurrentHP,5,int,현재 체력 포인트
MaxHP,5,int,최대 체력 포인트
CurrentMemoryPuzzleCount,0,int,현재 모은 기억 퍼즐 개수
MaxMemoryPuzzleCount,5,int,최대 기억 퍼즐 개수
isRecalling,false,bool,회상 중인지 나타내는 상태 변수(회상 씬인 경우 true)
isInvesigating,false,bool,조사 중인가
RoomSofaClick,0,int,회상 씬 속 할퀴어진 소파 
CurrentSceneName,TitleScene,string,현재 씬 이름
NextSceneName,Prologue,string,진행될 다음 씬 이름
CanMoving,true,bool,플레이어 움직임 제어용 변수
CanInvesigatingRecallObject,false,bool,회상에서 선택지 다 선택 후 일반 오브젝트 조사 가능
PrologueStep,0,int,프롤로그 현재 진행 Step 번호
isPrologueFinished,false,bool,프롤로그 완료됐는가
isPuzzleMoving,false,bool,puzzle 획득 애니메이션이 진행 중인가
MemoryPuzzleStates,5,dict:int-bool,각 퍼즐 조각의 선택지 선택 상태. true이면 긍정 선택 false면 부정적 선택
CleanedObjectCount,0,int,회상씬 4에서 청소 미니게임 청소 완료 개수 카운트
CanStartCleaningMinigame,TRUE,bool,회상씬 4에서 청소 미니게임 오브젝트 조사 가능 상태
Ttoli_Interacted,FALSE,bool,플레이어가 또리와 첫 대화를 했는지 여부 (성공/실패 무관).
Ttoli_Persuaded,FALSE,bool,플레이어가 또리를 성공적으로 설득했는지 여부.
Leo_Interacted,FALSE,bool,플레이어가 레오와 첫 대화를 했는지 여부 (성공/실패 무관).
Leo_Persuaded,FALSE,bool,플레이어가 레오를 성공적으로 설득했는지 여부.
Bogsil_Interacted,FALSE,bool,플레이어가 복실이와 첫 대화를 했는지 여부 (성공/실패 무관).
Bogsil_Persuaded,FALSE,bool,플레이어가 복실이를 성공적으로 설득했는지 여부.
Miya_Interacted,FALSE,bool,플레이어가 미야와 첫 대화를 했는지 여부 (성공/실패 무관).
Miya_Persuaded,FALSE,bool,플레이어가 미야를 성공적으로 설득했는지 여부.
AllCatsInteracted,FALSE,bool,4마리 고양이 모두와 첫 대화를 마쳤는지 여부.
Monologue_Shown,FALSE,bool,책임 지수 낮은 루트의 각성 독백을 보았는지 여부.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
HappyEndingStep,0,int,해피엔딩 스테이지2에서 고양이 찾는 단계
